uid,facname,factype,latitude,longitude
101424,P.S. 120 Carlos Tapia,Elementary School - Public,40.700679,-73.93769
34670,P.S. 236 Langston Hughes,Elementary School - Public,40.848902,-73.909828
88021,Maspeth High School,High school - Public,40.72909,-73.8877
83768,P.S. 100 The Coney Island School,Elementary School - Public,40.577568,-73.970848
58622,P.S. 064 Joseph P. Addabbo,Elementary School - Public,40.682036,-73.856962
162551,Kipp Star Harlem College Prep Elemen,Charter School,40.819419,-73.957195
49802,"M.S. 267 Math, Science & Technology",Junior High-Intermediate-Middle School - Public,40.687938,-73.932374
92379,P.S. 081 Thaddeus Stevens,Elementary School - Public,40.692939,-73.934692
112768,P.S. 019 Judith K. Weiss,K-8 School - Public,40.89935,-73.867212
87078,PS 77,Special Education School,40.678726,-73.976693
148686,Growing Up Green Charter School,Charter School,40.753113,-73.935704
62272,The Dr. Emmett W. Bassett School,Elementary School - Public,40.829156,-73.857613
71193,I.S. 025 Adrien Block,Junior High-Intermediate-Middle School - Public,40.764987,-73.789702
5246,P.S. 247 Brooklyn,Elementary School - Public,40.612254,-73.987199
109863,Success Academy Cs - Bergen Beach,Charter School,40.620798,-73.913059
106906,Rockaway Park High School For Environmental Sustainability,High school - Public,40.586574,-73.823593
74491,Brownsville Collegiate Charter School,Junior High-Intermediate-Middle School - Charter,40.668636,-73.905093
5511,Explore Exceed Charter School,Charter School,40.676922,-73.959842
77124,J.H.S. 118 William W. Niles,Junior High-Intermediate-Middle School - Public,40.848528,-73.892593
5540,P.S. 243k- The Weeksville School,Elementary School - Public,40.675768,-73.93522
25833,Leadership Prep Canarsie Middle Acad,Charter School,40.644072,-73.892664
80005,Academy Of The City Charter School,Charter School,40.760658,-73.939835
39290,Middle Village Prep Charter School,Charter School,40.710738,-73.888464
75372,P.S. 297 Abraham Stockton,Elementary School - Public,40.69744,-73.947834
167845,Ella Baker School,K-8 School - Public,40.765584,-73.959615
5697,P.S. 310 Marble Hill,Elementary School - Public,40.872463,-73.905308
116250,P.S. 291,Elementary School - Public,40.859192,-73.909845
125617,P.S. 032 Samuel Mills Sprole,Elementary School - Public,40.680238,-73.990735
106831,Antonia Pantoja Preparatory Academy: A College Board School,Secondary School - Public,40.821438,-73.855897
163271,Academy Of Innovative Technology,High school - Public,40.69302,-73.869078
104734,Creedmoor PSychiatric Center,Elementary School,40.741235,-73.728844
136033,"Ballet Tech, NYC Public School For Dance",K-8 School - Public,40.738536,-73.989493
77260,P.S. 124 Silas B. Dutcher,Elementary School - Public,40.667495,-73.990686
89262,I.S. 347 School Of Humanities,Junior High-Intermediate-Middle School - Public,40.700957,-73.92767
31675,P.S. 178 Saint Clair Mckelway,K-8 School - Public,40.671267,-73.91808
74966,Bronx High School For The Visual Arts,High school - Public,40.851589,-73.864422
120721,P.S. 002 Alfred Zimberg,Elementary School - Public,40.769958,-73.894116
85978,P.S. 195,Elementary School - Public,40.830795,-73.877399
3026,P.S. 184 Flushing Manor,Elementary School - Public,40.77835,-73.799774
157194,Grand Concourse Acad Charter Sch,Charter School,40.825763,-73.838515
76797,P.S. 157 Grove Hill,Elementary School - Public,40.819281,-73.909092
110638,M.S. 250 West Side Collaborative Middle School,Junior High-Intermediate-Middle School - Public,40.795112,-73.973966
57869,Queens Vocational And Technical High School,High school - Public,40.741617,-73.927971
135026,Success Academy Charter School - Bronx 3,Elementary School - Charter,40.827723,-73.913812
102782,Nelson Mandela High School,High school - Public,40.678931,-73.931599
102788,Boys And Girls High School,High school - Public,40.678931,-73.931599
84280,P.S. 199 Maurice A. Fitzgerald,Elementary School - Public,40.739428,-73.928681
177355,Bronx Delta School,Elementary School - Public,40.827007,-73.818266
193707,Harlem Renaissance High School,High school - Public,40.807741,-73.939955
138576,West Bronx Academy For The Future,Secondary School - Public,40.859514,-73.888599
115384,P.S. 273 Wortman,Elementary School - Public,40.658351,-73.879171
113789,Success Academy North West Middle Sc,Charter School,40.815478,-73.955556
107582,PS 159 Mini-School,Elementary School,40.676125,-73.868751
117508,M.S. M245 The Computer School,Junior High-Intermediate-Middle School - Public,40.780878,-73.977819
75475,Icahn Charter School 2,Charter School,40.845023,-73.858079
115730,PS 3,Elementary School,40.520626,-74.211716
137837,P.S. 166 The Richard Rodgers School Of The Arts And Technology,Elementary School - Public,40.788941,-73.972531
163265,School Of Science & Technology,Elementary School - Public,40.632617,-73.954266
99654,New Utrecht High School,High school - Public,40.613336,-74.002779
87537,Success Academy Charter-Bronx 2,Charter School,40.83625,-73.905067
154904,The Emerson School,Junior High-Intermediate-Middle School - Public,40.69713,-73.786572
111097,Young Women's Leadership School,Secondary School - Public,40.792938,-73.947168
61053,P.S. 121 Queens,Elementary School - Public,40.683792,-73.815525
34232,P.S. 315 Lab School,K-8 School - Public,40.857943,-73.903761
124463,The Urban Assembly Unison School,Junior High-Intermediate-Middle School - Public,40.684469,-73.960498
129416,Harlem Link Charter School-Annex,Charter School,40.814328,-73.952793
23438,Academic High School,Academic High School,40.72412,-74.005143
134917,Wadleigh Secondary School For The Performing & Visual Arts,Secondary School - Public,40.802637,-73.95414
5427,Madiba Prep Middle School,Junior High-Intermediate-Middle School - Public,40.691611,-73.931388
121520,Success Academy Union Square (Manhattan 1),Elementary School - Charter,40.735319,-73.987085
138505,Health Opportunities High School,High school - Public,40.815788,-73.929981
6009,P.S. 086 The Irvington,Elementary School - Public,40.700611,-73.917786
166453,New Visions Charter High School For Advanced Math And Science Iv,High school - Charter,40.674746,-73.783242
153975,Brooklyn Laboratory Charter School,Charter School,40.697117,-73.987324
58217,P.S. 150 Queens,Elementary School - Public,40.746364,-73.920307
167064,Queens Hospital Ctr/Gateway HS,Academic High School,40.716931,-73.804262
62384,Dr. Richard Izquierdo Health And Science Charter School,Secondary School - Charter,40.827356,-73.900616
62272,The Dr. Emmett W. Bassett School,Elementary School - Public,40.828525,-73.857155
193842,The Equity Project Charter School (Tep),K-8 School - Charter,40.855599,-73.926191
107393,Queens Metropolitan High School,High school - Public,40.708525,-73.855802
121553,Union Square Academy For Health Sciences,High school - Public,40.735319,-73.987085
153872,Automotive High School,High school - Public,40.722223,-73.953603
86977,Dist Office 13 (Old PS 9 Annex,Elementary School,40.676323,-73.965868
194169,P.S. 197 - The Kings Highway Academy,Elementary School - Public,40.612588,-73.951438
111112,Mosaic Preparatory Academy,Elementary School - Public,40.79601,-73.944567
154816,Bronx Charter-Better Learning II,Charter School,40.864196,-73.836304
135825,P.S. 9 Ryer Avenue Elementary School,Elementary School - Public,40.856618,-73.898821
55467,"PS 58, Is43",Elementary School,40.582813,-74.160904
73859,P.S. 050 Talfourd Lawn Elementary School,Elementary School - Public,40.694881,-73.806777
41316,P.S. 154 Harriet Tubman,Elementary School - Public,40.810518,-73.948759
75915,Frank Sinatra School Of The Arts High School,High school - Public,40.756127,-73.925165
8324,P.S. 165 Robert E. Simon,K-8 School - Public,40.802609,-73.96598
45186,South Bronx Classical  - II Ms,Charter School,40.820437,-73.927132
62309,Boys Prep Charter School Of NY Annex,Charter School,40.825007,-73.873767
131208,P.S. 171 Patrick Henry,K-8 School - Public,40.792302,-73.951424
105782,High School For Public Service: Heroes Of Tomorrow,High school - Public,40.65899,-73.943273
193525,Mckee Vocational HS,Vocational High School,40.642852,-74.079273
138614,Frederick Douglass Academy V. Middle School,Junior High-Intermediate-Middle School - Public,40.848698,-73.888976
8668,P.S. 205 Fiorello Laguardia,Elementary School - Public,40.853189,-73.882148
110704,Hunter College Elem & HS,Academic High School,40.785576,-73.954979
77582,P.S. 104 The Bays Water,Elementary School - Public,40.607999,-73.765068
84316,Academy Of American Studies,High school - Public,40.751602,-73.936811
166970,South Bronx Charter School,Charter School,40.807427,-73.916312
61911,Jhs 155 & Playground,Intermediate School,40.811063,-73.909358
3608,P.S. 096,Elementary School - Public,40.675331,-73.808131
99549,Coney Island Preparatory Public Charter School,K-12 all grades School - Charter,40.594402,-73.993858
101393,I.S. 364 Gateway,Junior High-Intermediate-Middle School - Public,40.646314,-73.880956
158664,Atmosphere Academy Public Charter,Charter School,40.875129,-73.910307
83489,Success Acad Charter Sch-Fort Greene,Charter School,40.69648,-73.975981
83277,P.S./I.S. 116 William C. Hughley,K-8 School - Public,40.700756,-73.781784
125872,Community Roots Charter School,K-8 School - Charter,40.697851,-73.981008
119249,Riverton Street Charter School,Charter School,40.6893,-73.763557
61631,P.S. 158 Warwick,Elementary School - Public,40.672598,-73.88522
31734,Achievement First Bushwick Charter School,K-12 all grades School - Charter,40.697694,-73.919288
101787,Van Siclen Community Middle School,Junior High-Intermediate-Middle School - Public,40.659744,-73.885656
136325,Eagle Academy For Young Men Of Harlem,Secondary School - Public,40.817275,-73.947241
84938,P.S. 033 Edward M. Funk,Elementary School - Public,40.727108,-73.734506
160191,Neighborhood Charter Of Harlem 2,Charter School,40.824627,-73.945737
167912,Achievement First Brooklyn HS,Charter School,40.67738,-73.94195
57453,Canarsie Ascend Charter School,Charter School,40.644469,-73.900441
77107,P.S. 059 The Community School Of Technology,Elementary School - Public,40.850842,-73.893134
103598,P.S. 040 George W. Carver,Elementary School - Public,40.680195,-73.921474
83267,P.S. 007 Abraham Lincoln,Elementary School - Public,40.689311,-73.873024
101614,Manhattan / Hunter Science High School,High school - Public,40.7749,-73.98563
75264,Beg With Children Charter Sch,Charter School,40.699079,-73.945187
85975,P.S. 196,Elementary School - Public,40.830795,-73.877399
103288,Kipp Star College Prep Charter,Charter School,40.810755,-73.956019
180022,P.S. 207 Rockwood Park,K-8 School - Public,40.657941,-73.844014
111447,New Dorp HS & Af,Academic High School,40.570008,-74.107022
156738,West Queens HS,Academic High School,40.765934,-73.933965
155903,P.S. 128 Audubon,Elementary School - Public,40.841028,-73.938751
31886,The Brooklyn School For Social Justice,High school - Public,40.696813,-73.911847
30145,M.S. 319 - Maria Teresa,Junior High-Intermediate-Middle School - Public,40.839358,-73.935707
93027,P.S. 179 Kensington,Elementary School - Public,40.640228,-73.977274
125780,P.S. 084 Lillian Weber,Elementary School - Public,40.78938,-73.968099
59020,W. H. Maxwell Career And Technical Education High School,High school - Public,40.673649,-73.895864
124355,IS 84,Intermediate School,40.830545,-73.887128
163041,P.S. 109,K-8 School - Public,40.636004,-73.933096
123303,P.S. 232 Lindenwood,K-8 School - Public,40.665689,-73.850759
77439,P.S. 295,Elementary School - Public,40.660965,-73.989011
104425,Frederick Douglass Academy Viii Middle School,Junior High-Intermediate-Middle School - Public,40.646753,-73.881845
160414,Success Academy Charter School - Harlem 4,K-8 School - Charter,40.801583,-73.955494
115687,IS 7 & Playground,Intermediate School,40.523221,-74.186174
25153,South Bronx Classical Charter School,K-8 School - Charter,40.822205,-73.894432
96974,J.H.S. 226 Virgil I. Grissom,Junior High-Intermediate-Middle School - Public,40.675172,-73.816741
101753,East New York Family Academy,Secondary School - Public,40.661269,-73.886765
126536,Success Acad Charter Sch-Harlem 4,Charter School,40.801743,-73.955589
106791,P.S. 249 The Caton,Elementary School - Public,40.649622,-73.966426
74282,P.S. 031 Samuel F. Dupont,Elementary School - Public,40.726914,-73.954116
90120,South Bronx Classical Charter School II,Elementary School - Charter,40.808259,-73.925778
117260,West Prep Academy,Junior High-Intermediate-Middle School - Public,40.799106,-73.965362
33869,Bronx Charter School For The Arts,Charter School,40.821674,-73.886388
134069,Family Life Academy Charter Sch II,Charter School,40.811483,-73.92512
103538,P.S. 192 Jacob H. Schiff,Elementary School - Public,40.820993,-73.953069
117580,Frederick Douglass Academy,Secondary School - Public,40.823929,-73.935672
94439,PS 11,Elementary School,40.590737,-74.09796
117425,Cascades High School,High school - Public,40.722388,-73.990485
134807,River East Elementary,Elementary School - Public,40.796735,-73.930154
21185,PS 43 Annex,Elementary School,40.594657,-73.760513
76526,The Windsor Terrace School,Elementary School - Public,40.657066,-73.976103
146904,A. Philip Randolph Campus High School,High school - Public,40.818382,-73.949904
173628,Kipp Freedom Charter School II,Charter School,40.784254,-73.953659
71168,J.H.S. 194 William Carr,Junior High-Intermediate-Middle School - Public,40.783247,-73.806504
118129,The School Of Science And Applied Learning,Elementary School - Public,40.845921,-73.886726
111310,"PS 38, Mini-Schl & Plgnd (Jop)",Elementary School,40.574786,-74.099285
103383,P.S. 156 Waverly,Elementary School - Public,40.66538,-73.917894
8457,Bronx International High School,High school - Public,40.82726,-73.903853
107988,P.S. 047 John Randolph,Elementary School - Public,40.832631,-73.866978
62334,Bronx Studio School For Writers And Artists,Secondary School - Public,40.82039,-73.892961
4141,Success Academy Cs-Cobble Hill,Charter School,40.685317,-73.993335
121608,Millennium High School,High school - Public,40.704686,-74.011232
193182,PS 369,Special Education School,40.687332,-73.983258
101856,P.S. 063 Old South,Elementary School - Public,40.676918,-73.846824
113004,Brooklyn Secondary School For Collaborative Studies,Secondary School - Public,40.679541,-74.001941
73208,P.S. 124 Yung Wing,Elementary School - Public,40.714659,-73.995598
97553,Bronx Engineering And Technology Academy,High school - Public,40.877239,-73.91312
77380,J.H.S. 167 Robert F. Wagner,Junior High-Intermediate-Middle School - Public,40.771672,-73.957918
5671,P.S. 288 The Shirley Tanyhill,K-8 School - Public,40.574256,-73.99244
31702,P.S. 299 Thomas Warren Field,Elementary School - Public,40.69097,-73.917722
90462,P.S. 047 Chris Galas,K-8 School - Public,40.606469,-73.820778
61392,P.S. 115 Daniel Mucatel School,Elementary School - Public,40.634881,-73.897891
107678,New Directions Secondary School,Secondary School - Public,40.839581,-73.911303
135029,Girls Preparatory Charter School Of The Bronx,K-8 School - Charter,40.815984,-73.901816
180341,P.S. 181 Brooklyn,K-8 School - Public,40.648109,-73.945913
78914,August Martin High School,High school - Public,40.674746,-73.783242
77107,P.S. 059 The Community School Of Technology,Elementary School - Public,40.85313,-73.893599
163314,Cypress Hills Collegiate Preparatory School,High school - Public,40.69302,-73.869078
30140,Kipp NYC Washington Heights Charter,Charter School,40.839436,-73.935915
134074,Vanguard High School,High school - Public,40.765584,-73.959615
75844,P.S. 031 Bayside,Elementary School - Public,40.757604,-73.76912
116836,PS 39 & Playground,Elementary School,40.597934,-74.070135
109865,Success Academy Charter School - Bergen Beach - New York 4,Elementary School - Charter,40.620798,-73.913059
77135,P.S. 3 Raul Julia Micro Society,K-8 School - Public,40.850113,-73.891685
123455,Eximius College Preparatory Academy: A College Board School,High school - Public,40.833949,-73.90273
64701,Renaissance Charter School 2 (The),Charter School,40.749928,-73.884825
129597,The Bronx Mathematics Preparatory School,Junior High-Intermediate-Middle School - Public,40.814967,-73.856072
99285,P.S. 089 Bronx,K-8 School - Public,40.862627,-73.859245
137890,J.H.S. 080 The Mosholu Parkway,Junior High-Intermediate-Middle School - Public,40.87691,-73.88133
71597,P.S. 188 Kingsbury,Elementary School - Public,40.736103,-73.753615
103779,P.S. 221 Toussaint L'Ouverture,Elementary School - Public,40.663933,-73.936057
105054,Bronx High School Of Science,High school - Public,40.87835,-73.890843
103126,James Weldon Johnson,K-8 School - Public,40.797393,-73.941525
